tuoi,thu_nhap_trieu,so_lan_mua_truoc,so_ngay_tu_lan_mua_cuoi,diem_tin_dung,kenh_tiep_can,khu_vuc,mua_hang
36,33.6,16,38,805.0,email,mien_trung,1
47,59.3,16,106,456.0,sms,mien_trung,1
70,40.5,4,99,500.0,quang_cao,mien_trung,0
67,28.7,15,137,428.0,sms,mien_nam,1
50,40.5,4,321,745.0,email,mien_trung,0
39,12.2,14,192,807.0,quang_cao,mien_nam,1
65,9.9,8,164,557.0,email,mien_trung,0
59,30.0,3,278,838.0,goi_dien,mien_trung,0
53,35.7,1,300,466.0,goi_dien,mien_trung,0
21,44.0,11,95,761.0,sms,mien_bac,1
55,58.4,5,219,823.0,quang_cao,mien_trung,0
20,19.4,4,42,471.0,quang_cao,mien_trung,0
67,46.6,15,170,826.0,sms,mien_bac,1
56,8.1,19,239,549.0,quang_cao,mien_trung,1
37,33.5,20,306,622.0,goi_dien,mien_bac,1
34,39.8,8,268,805.0,quang_cao,mien_trung,0
44,52.7,19,269,381.0,sms,mien_bac,1
66,12.8,19,182,630.0,email,mien_trung,1
70,13.5,1,205,815.0,goi_dien,mien_nam,0
27,33.8,3,116,705.0,goi_dien,mien_nam,1
68,20.9,9,94,684.0,sms,mien_bac,1
22,9.7,11,239,566.0,sms,mien_bac,0
41,24.9,5,196,329.0,goi_dien,mien_nam,0
32,25.6,12,300,543.0,sms,mien_bac,0
40,17.6,9,139,635.0,quang_cao,mien_trung,0
35,9.6,10,271,767.0,sms,mien_nam,0
55,30.1,19,321,611.0,email,mien_trung,1
45,52.1,10,92,731.0,goi_dien,mien_bac,1
66,46.4,8,210,329.0,sms,mien_trung,0
61,58.9,10,144,345.0,goi_dien,mien_trung,1
35,38.1,14,305,670.0,goi_dien,mien_trung,1
60,14.6,5,349,454.0,quang_cao,mien_trung,0
55,53.6,2,234,512.0,quang_cao,mien_bac,1
52,55.9,5,231,302.0,quang_cao,mien_trung,0
69,58.7,10,235,632.0,quang_cao,mien_bac,0
25,38.5,6,149,630.0,sms,mien_bac,0
25,15.8,4,54,518.0,sms,mien_trung,0
32,30.1,12,171,711.0,quang_cao,mien_trung,1
55,30.3,18,260,486.0,quang_cao,mien_trung,0
52,23.7,2,358,528.0,sms,mien_nam,0
55,53.4,18,51,750.0,quang_cao,mien_nam,0
41,54.0,12,181,395.0,quang_cao,mien_nam,0
67,58.4,15,222,369.0,sms,mien_bac,1
54,26.8,19,156,477.0,email,mien_bac,1
70,34.3,4,292,710.0,sms,mien_trung,0
51,55.6,10,329,395.0,goi_dien,mien_nam,0
40,7.7,19,122,487.0,sms,mien_nam,1
34,24.0,19,357,725.0,goi_dien,mien_nam,1
62,11.4,9,341,304.0,goi_dien,mien_nam,0
44,4.4,9,305,435.0,goi_dien,mien_nam,0
62,10.5,8,288,441.0,quang_cao,mien_nam,0
45,11.9,13,86,676.0,email,mien_bac,1
45,34.2,19,109,536.0,sms,mien_trung,1
32,45.0,9,282,480.0,goi_dien,mien_nam,0
27,40.3,13,112,685.0,quang_cao,mien_nam,1
56,34.4,10,23,595.0,email,mien_bac,1
45,54.8,19,26,728.0,quang_cao,mien_trung,1
27,31.8,13,42,799.0,email,mien_nam,1
39,43.3,3,115,825.0,goi_dien,mien_trung,1
44,38.3,19,2,823.0,email,mien_nam,1
60,47.0,7,68,572.0,email,mien_bac,1
47,29.9,2,44,563.0,email,mien_nam,0
42,34.0,5,229,586.0,goi_dien,mien_trung,0
45,43.2,8,204,624.0,goi_dien,mien_nam,1
32,11.5,6,258,331.0,goi_dien,mien_bac,0
39,45.7,15,144,420.0,quang_cao,mien_nam,1
35,13.1,15,144,836.0,sms,mien_trung,1
32,37.5,5,330,427.0,email,mien_trung,0
50,11.2,11,67,487.0,goi_dien,mien_trung,1
28,56.3,8,266,319.0,quang_cao,mien_nam,0
31,16.4,15,272,717.0,quang_cao,mien_nam,0
36,11.6,17,251,615.0,sms,mien_trung,1
51,5.6,19,36,736.0,sms,mien_nam,1
58,44.1,6,193,829.0,goi_dien,mien_bac,1
27,12.0,19,157,312.0,goi_dien,mien_trung,1
64,22.9,19,303,846.0,quang_cao,mien_nam,1
36,21.2,5,158,661.0,quang_cao,mien_nam,0
40,19.0,20,230,335.0,goi_dien,mien_bac,1
65,8.0,3,302,472.0,goi_dien,mien_nam,0
48,35.1,15,249,392.0,sms,mien_bac,0
39,56.7,4,94,633.0,email,mien_nam,1
39,22.5,14,237,524.0,email,mien_trung,0
58,5.2,8,259,618.0,quang_cao,mien_trung,0
33,18.3,14,29,488.0,goi_dien,mien_trung,1
31,22.0,18,273,513.0,quang_cao,mien_bac,0
59,37.7,13,108,612.0,quang_cao,mien_bac,1
52,16.4,2,78,520.0,goi_dien,mien_trung,0
45,7.6,10,338,631.0,goi_dien,mien_nam,0
64,10.7,12,158,603.0,quang_cao,mien_nam,1
41,34.3,19,216,564.0,goi_dien,mien_nam,1
51,9.3,10,130,523.0,goi_dien,mien_trung,1
58,15.6,16,150,778.0,email,mien_nam,1
63,32.5,3,122,605.0,email,mien_trung,0
47,49.5,8,252,498.0,sms,mien_nam,0
50,44.4,20,34,466.0,goi_dien,mien_bac,1
37,53.5,7,258,354.0,goi_dien,mien_nam,0
65,5.8,11,262,723.0,sms,mien_bac,0
41,6.6,3,108,630.0,email,mien_bac,0
42,40.2,12,54,397.0,sms,mien_nam,1
67,11.3,20,343,704.0,sms,mien_bac,1
66,58.6,18,52,809.0,quang_cao,mien_trung,1
45,45.2,9,344,607.0,quang_cao,mien_nam,0
41,46.3,18,223,500.0,goi_dien,,1
59,44.6,11,360,539.0,sms,mien_bac,0
34,52.7,7,365,506.0,sms,mien_trung,0
64,6.4,18,34,800.0,goi_dien,mien_trung,1
50,16.5,5,165,773.0,sms,mien_trung,0
37,32.0,3,42,752.0,sms,mien_trung,1
49,14.7,19,41,461.0,goi_dien,mien_nam,1
28,6.7,7,30,793.0,goi_dien,mien_nam,1
37,34.5,1,10,580.0,goi_dien,mien_nam,1
49,23.5,9,282,363.0,goi_dien,mien_nam,0
70,56.9,2,332,355.0,goi_dien,mien_nam,0
18,9.6,1,238,374.0,quang_cao,mien_bac,0
65,25.6,10,330,794.0,quang_cao,mien_nam,0
35,21.4,1,4,455.0,email,mien_trung,0
44,19.7,6,92,533.0,quang_cao,mien_bac,0
23,13.9,0,210,686.0,email,mien_bac,0
59,14.4,6,194,615.0,goi_dien,mien_bac,0
20,24.8,15,290,779.0,sms,mien_trung,1
42,20.6,7,283,824.0,goi_dien,mien_nam,0
53,46.0,6,305,822.0,email,mien_nam,0
20,40.0,1,203,332.0,quang_cao,mien_trung,0
40,36.7,9,240,649.0,sms,mien_nam,0
49,,9,141,440.0,goi_dien,mien_trung,0
59,45.7,10,106,407.0,quang_cao,mien_nam,1
48,27.2,17,97,762.0,sms,mien_trung,1
62,4.9,0,238,721.0,quang_cao,mien_bac,0
32,31.2,12,80,613.0,email,mien_nam,1
56,59.2,16,106,412.0,quang_cao,mien_bac,1
69,59.5,15,219,504.0,quang_cao,mien_bac,1
57,20.7,14,237,510.0,goi_dien,mien_bac,1
56,35.6,20,326,816.0,email,mien_trung,1
36,23.1,4,165,701.0,goi_dien,mien_bac,0
20,11.4,20,48,719.0,goi_dien,mien_nam,1
61,8.2,3,217,720.0,email,mien_bac,0
22,22.0,2,123,830.0,email,mien_bac,0
64,8.1,4,316,506.0,goi_dien,mien_bac,0
60,41.0,1,343,838.0,email,mien_trung,0
34,31.3,15,312,656.0,email,mien_bac,0
67,52.0,16,236,564.0,quang_cao,mien_nam,1
57,10.6,19,40,528.0,email,mien_nam,1
70,26.1,1,365,534.0,goi_dien,mien_trung,0
28,8.3,13,326,349.0,email,mien_bac,0
66,45.0,4,301,306.0,goi_dien,mien_trung,0
51,49.9,5,273,482.0,quang_cao,mien_bac,0
28,59.1,18,184,329.0,sms,mien_trung,1
40,58.4,8,98,393.0,sms,mien_bac,1
30,23.1,17,39,796.0,email,mien_bac,1
33,16.5,14,263,313.0,sms,mien_trung,0
26,17.0,6,103,669.0,goi_dien,mien_trung,1
68,26.9,13,70,507.0,quang_cao,mien_trung,1
42,39.1,8,244,513.0,quang_cao,mien_bac,0
68,36.9,9,53,744.0,goi_dien,mien_trung,1
33,15.0,10,337,633.0,quang_cao,mien_bac,0
34,6.5,20,145,846.0,quang_cao,mien_nam,1
23,11.4,6,343,563.0,quang_cao,mien_trung,0
62,13.7,19,11,734.0,sms,mien_nam,1
32,33.9,8,45,767.0,email,mien_nam,1
59,44.0,12,124,397.0,quang_cao,mien_bac,1
64,12.4,6,120,717.0,sms,mien_trung,0
49,11.8,1,132,590.0,goi_dien,mien_nam,0
61,9.6,3,104,687.0,goi_dien,mien_nam,0
34,38.8,12,75,826.0,quang_cao,mien_nam,1
52,44.1,13,223,697.0,goi_dien,mien_bac,1
47,47.1,7,216,441.0,quang_cao,mien_trung,0
64,18.3,17,285,789.0,quang_cao,mien_bac,1
53,45.9,6,59,614.0,sms,mien_nam,1
36,54.0,19,136,743.0,email,mien_trung,1
35,5.3,6,255,486.0,goi_dien,mien_nam,0
34,37.0,14,349,657.0,goi_dien,mien_bac,0
60,25.3,7,104,653.0,quang_cao,mien_bac,0
39,,15,77,521.0,goi_dien,mien_bac,1
25,55.5,4,36,833.0,email,mien_nam,1
46,26.1,10,207,462.0,quang_cao,mien_nam,0
20,29.1,10,152,630.0,email,mien_nam,1
37,17.3,20,104,558.0,email,mien_bac,1
49,11.6,15,128,317.0,email,mien_trung,1
48,26.0,19,352,363.0,goi_dien,mien_bac,0
52,54.3,8,291,419.0,quang_cao,mien_bac,0
50,24.5,7,184,365.0,quang_cao,mien_bac,0
34,19.7,0,29,755.0,quang_cao,mien_trung,0
58,16.4,5,124,801.0,sms,mien_nam,0
56,13.1,20,199,366.0,quang_cao,mien_bac,1
24,26.5,8,262,355.0,sms,mien_nam,0
42,56.0,11,156,319.0,sms,mien_nam,0
65,6.4,17,180,354.0,sms,mien_trung,0
50,35.9,12,278,777.0,goi_dien,mien_bac,1
48,23.5,8,85,431.0,email,mien_nam,1
21,21.1,5,224,498.0,quang_cao,mien_bac,0
57,34.0,5,171,351.0,sms,mien_bac,0
29,21.0,4,236,843.0,sms,mien_trung,0
41,23.4,8,68,575.0,sms,mien_nam,1
47,52.3,5,154,846.0,goi_dien,mien_trung,1
37,46.8,0,96,635.0,sms,mien_bac,0
33,57.8,14,136,622.0,goi_dien,mien_nam,1
34,17.6,1,192,806.0,email,mien_trung,0
35,47.6,10,5,849.0,email,mien_bac,1
38,33.9,2,324,796.0,email,mien_bac,0
51,39.8,5,71,479.0,goi_dien,mien_trung,1
30,54.7,1,188,665.0,email,mien_bac,0
47,37.3,3,237,633.0,email,mien_nam,0
51,11.7,4,204,363.0,email,mien_trung,0
46,4.7,15,274,555.0,sms,mien_trung,0
65,10.8,5,190,559.0,goi_dien,mien_bac,0
32,58.6,18,275,482.0,email,mien_nam,1
20,59.3,18,128,302.0,email,mien_bac,1
57,46.0,0,86,631.0,sms,mien_nam,0
33,30.2,1,265,497.0,sms,mien_nam,0
40,48.1,4,60,613.0,goi_dien,mien_trung,1
51,29.3,13,249,776.0,goi_dien,mien_nam,1
52,31.8,18,156,595.0,sms,mien_bac,1
61,25.5,11,80,436.0,quang_cao,mien_nam,1
37,10.9,6,152,366.0,goi_dien,mien_bac,0
61,36.1,2,223,505.0,sms,mien_bac,0
59,8.8,7,103,378.0,sms,mien_trung,0
57,46.1,19,41,740.0,sms,mien_trung,1
64,27.6,6,20,649.0,goi_dien,mien_bac,1
65,35.7,2,243,485.0,quang_cao,mien_trung,0
44,4.4,15,70,771.0,quang_cao,mien_nam,1
52,31.2,4,287,620.0,sms,mien_trung,0
36,12.8,6,259,557.0,quang_cao,mien_bac,0
67,27.9,16,319,777.0,email,mien_trung,1
66,12.2,3,270,712.0,email,mien_bac,0
61,10.2,6,100,447.0,quang_cao,mien_bac,0
35,22.3,2,1,670.0,email,mien_nam,1
,36.3,12,8,412.0,quang_cao,mien_nam,1
64,25.8,16,116,720.0,quang_cao,mien_trung,1
69,16.9,18,5,742.0,quang_cao,mien_trung,1
69,45.9,6,31,654.0,quang_cao,mien_nam,1
59,4.1,11,54,545.0,goi_dien,mien_bac,1
61,5.2,19,3,762.0,goi_dien,mien_bac,1
38,19.6,20,234,834.0,sms,mien_bac,1
61,35.0,9,177,743.0,email,mien_nam,1
68,57.1,17,159,428.0,quang_cao,mien_bac,1
25,25.0,12,271,837.0,sms,mien_nam,1
18,32.4,13,246,764.0,email,mien_bac,1
21,31.3,4,360,844.0,goi_dien,mien_bac,0
60,30.3,4,85,492.0,sms,mien_trung,0
25,27.2,14,265,698.0,goi_dien,mien_trung,1
38,37.7,3,159,407.0,email,mien_trung,0
28,42.3,2,100,629.0,email,mien_nam,0
44,57.3,2,33,740.0,sms,mien_nam,1
24,59.2,19,156,621.0,quang_cao,mien_nam,1
56,35.8,11,268,436.0,email,mien_bac,0
32,5.0,2,20,429.0,quang_cao,mien_bac,0
42,56.4,12,272,845.0,quang_cao,mien_bac,1
25,59.0,6,144,709.0,sms,mien_bac,1
,35.3,4,81,381.0,email,mien_nam,0
42,19.3,20,229,501.0,email,mien_nam,1
66,46.0,13,91,752.0,quang_cao,mien_nam,1
47,40.3,6,113,801.0,sms,mien_bac,1
40,27.5,15,208,808.0,quang_cao,mien_bac,1
37,24.0,2,37,847.0,goi_dien,mien_trung,1
58,8.1,0,186,394.0,quang_cao,mien_trung,0
54,23.4,0,276,716.0,sms,mien_nam,0
68,19.8,4,193,413.0,goi_dien,mien_nam,0
69,18.2,11,271,688.0,goi_dien,mien_trung,0
43,46.3,9,100,799.0,sms,mien_bac,1
65,51.8,18,175,397.0,sms,mien_trung,1
62,21.7,4,87,345.0,goi_dien,mien_bac,0
18,9.2,20,46,774.0,sms,mien_bac,1
62,59.9,12,215,727.0,quang_cao,mien_nam,1
33,26.5,4,167,593.0,sms,mien_bac,0
51,7.8,9,40,457.0,quang_cao,mien_bac,1
65,53.6,9,171,581.0,sms,mien_bac,1
54,19.9,10,315,720.0,quang_cao,mien_trung,0
69,17.5,19,59,608.0,goi_dien,mien_trung,1
28,38.0,20,135,716.0,sms,mien_bac,1
52,35.0,11,215,574.0,goi_dien,mien_bac,0
38,22.0,20,225,309.0,goi_dien,mien_trung,1
43,28.0,12,98,353.0,sms,mien_trung,1
20,34.0,13,186,586.0,goi_dien,mien_trung,1
59,38.3,4,221,648.0,goi_dien,mien_trung,0
66,31.1,9,212,657.0,goi_dien,mien_bac,1
44,16.9,17,219,610.0,goi_dien,mien_nam,1
41,21.0,8,238,413.0,email,mien_nam,0
58,14.3,14,111,489.0,sms,mien_bac,1
21,16.1,6,272,689.0,sms,mien_bac,0
60,9.3,4,209,686.0,goi_dien,mien_nam,0
67,22.7,20,339,568.0,sms,mien_nam,1
68,40.1,14,158,591.0,goi_dien,mien_bac,1
48,16.2,4,279,666.0,email,mien_trung,0
18,57.2,3,161,614.0,quang_cao,mien_nam,0
22,44.7,1,81,647.0,goi_dien,mien_nam,1
69,39.6,18,212,395.0,sms,mien_nam,1
30,34.1,11,180,375.0,sms,mien_bac,0
37,44.0,7,101,840.0,sms,mien_nam,1
37,20.0,0,313,775.0,quang_cao,mien_trung,0
55,4.3,4,179,525.0,goi_dien,mien_nam,0
38,13.3,2,297,508.0,sms,mien_trung,0
45,56.5,11,62,495.0,quang_cao,mien_bac,1
66,13.9,12,92,492.0,quang_cao,mien_nam,1
44,19.0,17,68,496.0,sms,mien_trung,1
25,46.5,0,,849.0,email,mien_bac,0
43,25.9,13,271,477.0,sms,mien_trung,0
59,51.6,8,202,330.0,email,mien_nam,0
28,37.2,1,65,587.0,quang_cao,mien_bac,0
61,56.2,5,58,734.0,goi_dien,mien_nam,1
58,48.8,6,288,410.0,email,mien_nam,0
42,58.5,15,137,700.0,sms,mien_trung,1
25,41.6,10,241,623.0,goi_dien,mien_bac,1
18,26.4,6,132,714.0,quang_cao,mien_trung,0
52,27.0,10,96,377.0,email,mien_nam,1
40,36.9,3,162,387.0,sms,mien_bac,0
33,14.0,6,66,843.0,goi_dien,mien_nam,1
57,54.7,8,166,494.0,sms,mien_trung,0
55,14.1,15,264,818.0,goi_dien,mien_bac,1
53,44.3,5,167,426.0,email,mien_trung,0
36,23.7,19,3,404.0,quang_cao,mien_nam,1
55,5.8,13,230,389.0,email,mien_bac,0
28,25.1,9,156,328.0,goi_dien,mien_bac,0
38,20.7,0,188,458.0,goi_dien,mien_trung,0
19,29.2,9,111,410.0,goi_dien,mien_nam,1
36,24.1,3,314,425.0,quang_cao,mien_bac,0
50,19.0,0,99,832.0,goi_dien,mien_trung,0
22,23.3,16,328,704.0,email,mien_bac,1
44,20.8,17,55,694.0,quang_cao,mien_bac,1
41,4.4,7,275,647.0,sms,mien_bac,0
33,14.0,2,146,420.0,email,mien_bac,0
22,50.9,6,145,762.0,goi_dien,mien_trung,1
29,34.7,15,141,667.0,email,mien_bac,1
24,55.6,15,247,615.0,quang_cao,mien_trung,1
25,22.9,12,202,808.0,quang_cao,mien_trung,1
69,31.9,20,77,370.0,quang_cao,mien_nam,1
25,13.0,6,346,836.0,goi_dien,mien_nam,0
23,38.4,0,79,725.0,email,mien_nam,0
20,33.0,11,311,314.0,sms,mien_trung,0
19,18.2,4,172,613.0,sms,mien_trung,0
67,42.2,15,214,808.0,quang_cao,mien_nam,1
31,14.3,12,99,387.0,email,mien_trung,1
50,53.7,11,95,772.0,sms,mien_trung,1
67,43.5,3,201,592.0,sms,mien_nam,0
57,34.8,17,1,350.0,goi_dien,mien_nam,1
49,59.1,13,151,680.0,sms,mien_trung,1
19,45.8,18,227,680.0,sms,mien_bac,1
53,46.3,4,197,455.0,email,mien_trung,0
59,31.9,1,128,611.0,email,mien_bac,0
22,59.2,3,365,693.0,goi_dien,mien_nam,0
47,41.6,0,290,610.0,email,mien_nam,0
35,40.7,1,90,682.0,sms,mien_nam,0
34,38.9,12,261,418.0,email,mien_nam,0
22,16.7,0,144,603.0,email,mien_nam,0
38,9.0,13,254,730.0,sms,mien_bac,0
64,6.7,15,312,672.0,email,mien_nam,0
19,49.3,16,196,465.0,email,mien_nam,1
46,26.9,10,15,822.0,sms,mien_nam,1
40,41.3,10,190,706.0,email,mien_bac,1
55,53.3,16,100,563.0,email,mien_trung,1
61,38.5,16,77,758.0,sms,mien_bac,1
50,54.7,13,178,621.0,goi_dien,mien_nam,1
44,57.0,7,198,365.0,email,mien_trung,0
22,32.9,9,329,709.0,sms,mien_bac,0
31,19.5,6,50,541.0,quang_cao,mien_trung,0
41,46.2,2,293,774.0,email,mien_nam,0
28,11.1,1,189,357.0,quang_cao,mien_trung,0
44,5.7,7,284,350.0,quang_cao,mien_trung,0
46,12.6,15,26,333.0,quang_cao,mien_nam,1
61,48.2,7,55,441.0,sms,mien_nam,1
67,4.8,19,322,791.0,email,mien_bac,1
33,51.1,15,44,361.0,sms,mien_bac,1
25,4.4,5,218,357.0,email,mien_bac,0
55,21.1,10,350,694.0,sms,mien_bac,0
28,58.7,16,34,716.0,quang_cao,mien_trung,1
56,4.2,4,241,530.0,quang_cao,mien_nam,0
55,15.5,6,314,785.0,quang_cao,mien_nam,0
53,25.3,6,291,588.0,sms,mien_bac,0
43,49.6,2,189,573.0,email,mien_trung,0
37,4.3,11,284,849.0,email,mien_trung,0
65,41.7,18,62,515.0,sms,mien_trung,1
52,40.7,2,205,714.0,quang_cao,mien_nam,0
35,18.8,13,184,375.0,sms,mien_bac,0
43,5.1,8,82,679.0,email,mien_nam,1
65,43.6,16,213,517.0,goi_dien,mien_nam,1
69,36.2,17,355,319.0,goi_dien,mien_bac,0
25,11.3,3,349,376.0,email,mien_nam,0
42,21.3,7,365,634.0,goi_dien,mien_trung,0
52,20.4,20,348,665.0,email,mien_bac,1
69,54.0,16,86,371.0,goi_dien,mien_nam,1
56,14.7,9,302,660.0,quang_cao,mien_bac,0
35,39.1,0,169,696.0,goi_dien,mien_trung,0
58,26.4,14,331,597.0,sms,mien_nam,0
34,59.5,16,281,547.0,quang_cao,mien_nam,1
49,12.6,17,198,595.0,sms,mien_bac,1
63,40.1,14,293,692.0,goi_dien,mien_nam,1
28,21.4,1,41,501.0,goi_dien,mien_bac,0
31,23.5,13,22,534.0,goi_dien,mien_trung,1
57,45.5,1,255,345.0,quang_cao,mien_bac,0
64,42.9,10,68,354.0,quang_cao,mien_trung,0
23,5.0,18,263,340.0,sms,mien_bac,0
66,49.0,0,150,311.0,quang_cao,mien_nam,0
42,10.6,19,309,702.0,email,mien_nam,1
49,8.7,14,98,664.0,sms,mien_bac,1
63,56.1,1,163,467.0,email,mien_trung,0
43,13.2,6,19,704.0,email,mien_nam,1
29,18.6,12,339,480.0,goi_dien,mien_bac,0
27,25.9,8,151,382.0,email,mien_nam,0
63,39.9,11,95,462.0,goi_dien,mien_bac,1
40,40.7,16,308,648.0,sms,mien_bac,1
65,38.7,7,4,491.0,goi_dien,mien_trung,1
28,36.8,5,78,684.0,goi_dien,mien_bac,1
28,28.0,11,140,672.0,email,mien_nam,1
57,22.3,0,145,573.0,quang_cao,mien_bac,1
35,33.2,8,186,751.0,email,mien_nam,1
21,59.9,15,156,444.0,sms,mien_bac,1
65,52.8,19,135,361.0,sms,mien_nam,1
28,51.7,12,266,745.0,goi_dien,mien_bac,1
48,28.4,2,117,385.0,quang_cao,mien_trung,0
55,57.2,20,34,367.0,quang_cao,mien_bac,1
37,27.1,11,280,526.0,quang_cao,mien_trung,0
66,31.8,14,269,697.0,sms,mien_nam,1
23,11.2,2,168,501.0,sms,mien_nam,0
60,18.8,9,116,811.0,goi_dien,mien_trung,1
25,20.8,14,138,701.0,sms,mien_bac,1
58,38.1,18,363,650.0,email,mien_trung,0
25,42.4,4,167,625.0,quang_cao,mien_trung,0
20,32.7,14,234,399.0,sms,mien_bac,0
68,59.5,6,126,340.0,sms,mien_trung,0
39,17.5,1,34,461.0,quang_cao,mien_bac,0
58,24.2,4,207,421.0,email,mien_nam,0
60,16.8,14,163,384.0,sms,mien_trung,0
35,45.3,6,165,694.0,quang_cao,mien_nam,0
68,50.1,12,242,496.0,goi_dien,mien_bac,1
21,16.5,20,357,636.0,email,mien_bac,1
32,51.2,5,328,643.0,email,mien_bac,0
56,38.3,10,294,484.0,goi_dien,mien_trung,0
60,15.9,14,48,635.0,goi_dien,mien_bac,1
35,30.1,11,4,747.0,email,mien_bac,1
45,54.5,14,311,349.0,email,mien_trung,0
39,5.6,9,288,703.0,sms,mien_trung,0
46,33.4,0,194,839.0,quang_cao,mien_nam,0
28,26.0,12,217,352.0,quang_cao,mien_nam,0
26,37.2,14,290,651.0,sms,mien_bac,0
59,21.3,6,129,543.0,email,mien_trung,0
25,21.5,14,81,371.0,quang_cao,mien_trung,1
52,5.8,5,180,352.0,sms,mien_nam,0
18,24.4,19,341,836.0,email,mien_trung,1
27,35.7,8,257,682.0,goi_dien,mien_nam,0
53,46.0,2,133,629.0,email,mien_nam,0
44,36.0,7,156,417.0,quang_cao,mien_trung,0
59,22.6,3,213,602.0,sms,mien_nam,0
65,40.7,14,44,383.0,quang_cao,mien_trung,1
35,4.9,6,70,382.0,quang_cao,mien_bac,0
60,17.5,0,99,698.0,sms,mien_nam,0
21,5.8,18,62,739.0,goi_dien,mien_trung,0
46,50.4,10,195,750.0,email,mien_trung,1
36,38.8,20,65,339.0,quang_cao,mien_bac,1
35,24.0,15,210,523.0,sms,mien_trung,1
54,29.8,3,106,748.0,sms,mien_bac,0
46,18.4,18,197,349.0,sms,mien_trung,1
65,42.8,9,361,421.0,goi_dien,mien_nam,0
24,47.3,8,241,376.0,goi_dien,mien_bac,0
58,31.2,16,154,432.0,sms,mien_trung,1
58,15.0,15,49,613.0,email,mien_bac,1
70,13.8,10,346,392.0,email,mien_bac,0
62,55.4,8,347,799.0,quang_cao,mien_trung,0
21,46.1,13,123,444.0,email,mien_bac,1
43,40.1,16,185,563.0,sms,mien_nam,1
56,43.6,20,122,409.0,sms,mien_trung,1
21,37.9,16,248,376.0,quang_cao,mien_trung,0
68,54.5,6,102,307.0,goi_dien,mien_bac,0
43,51.9,13,307,356.0,goi_dien,mien_bac,0
61,20.3,2,162,521.0,goi_dien,mien_bac,0
59,33.0,6,96,771.0,quang_cao,mien_trung,1
23,50.1,3,210,542.0,goi_dien,mien_trung,0
65,57.0,20,28,840.0,email,mien_bac,1
33,41.0,10,254,725.0,email,mien_nam,0
25,15.5,10,176,562.0,email,mien_trung,0
28,9.4,8,321,632.0,goi_dien,mien_trung,0
70,15.3,14,151,406.0,goi_dien,mien_bac,1
22,51.0,16,292,826.0,quang_cao,mien_trung,1
31,27.8,18,35,440.0,quang_cao,mien_nam,1
25,23.5,16,34,327.0,goi_dien,mien_nam,1
36,31.7,9,284,468.0,quang_cao,mien_trung,0
27,16.5,9,28,610.0,sms,mien_nam,1
35,54.3,16,233,835.0,sms,mien_trung,1
63,42.9,20,22,582.0,quang_cao,mien_nam,1
46,18.0,10,103,308.0,goi_dien,mien_nam,1
53,41.2,16,334,345.0,quang_cao,mien_bac,0
59,26.3,17,14,712.0,goi_dien,mien_nam,1
63,30.3,0,326,819.0,sms,mien_bac,0
59,32.5,18,165,393.0,email,mien_trung,1
37,8.3,13,352,426.0,email,mien_trung,0
